month,lost to interest,lost to all fees,average loss per month,total lost,mortgage left
1/1,630.0,630.0,630.0,630.0,238940.51
2/1,627.22,627.22,628.61,1257.22,237878.23
3/1,624.43,624.43,627.22,1881.65,236813.17
4/1,621.63,621.63,625.82,2503.28,235745.31
5/1,618.83,618.83,624.42,3122.12,234674.65
6/1,616.02,616.02,623.02,3738.14,233601.17
7/1,613.2,613.2,621.62,4351.34,232524.88
8/1,610.38,610.38,620.21,4961.72,231445.77
9/1,607.55,607.55,618.81,5569.26,230363.82
10/1,604.71,604.71,617.4,6173.97,229279.03
11/1,601.86,601.86,615.98,6775.82,228191.4
12/1,599.0,599.0,614.57,7374.83,227100.9
1/2,596.14,596.14,613.15,7970.97,226007.55
2/2,593.27,593.27,611.73,8564.24,224911.33
3/2,590.39,590.39,610.31,9154.63,223812.23
4/2,587.51,587.51,608.88,9742.14,222710.24
5/2,584.61,584.61,607.46,10326.75,221605.36
6/2,581.71,581.71,606.03,10908.46,220497.58
7/2,578.81,578.81,604.59,11487.27,219386.89
8/2,575.89,575.89,603.16,12063.16,218273.29
9/2,572.97,572.97,601.72,12636.13,217156.76
10/2,570.04,570.04,600.28,13206.17,216037.31
11/2,567.1,567.1,598.84,13773.26,214914.91
12/2,564.15,564.15,597.39,14337.41,213789.57
1/3,561.2,561.2,595.94,14898.61,212661.27
2/3,558.24,558.24,594.49,15456.85,211530.02
3/3,555.27,555.27,593.04,16012.11,210395.79
4/3,552.29,552.29,591.59,16564.4,209258.58
5/3,549.3,549.3,590.13,17113.71,208118.39
6/3,546.31,546.31,588.67,17660.02,206975.21
7/3,543.31,543.31,587.2,18203.33,205829.03
8/3,540.3,540.3,585.74,18743.63,204679.84
9/3,537.28,537.28,584.27,19280.91,203527.63
10/3,534.26,534.26,582.8,19815.17,202372.39
11/3,531.23,531.23,581.33,20346.4,201214.13
12/3,528.19,528.19,579.85,20874.59,200052.82
1/4,525.14,525.14,578.37,21399.73,198888.47
2/4,522.08,522.08,576.89,21921.81,197721.06
3/4,519.02,519.02,575.41,22440.83,196550.58
4/4,515.95,515.95,573.92,22956.77,195377.03
5/4,512.86,512.86,572.43,23469.64,194200.4
6/4,509.78,509.78,570.94,23979.41,193020.68
7/4,506.68,506.68,569.44,24486.09,191837.87
8/4,503.57,503.57,567.95,24989.67,190651.95
9/4,500.46,500.46,566.45,25490.13,189462.92
10/4,497.34,497.34,564.94,25987.47,188270.77
11/4,494.21,494.21,563.44,26481.68,187075.48
12/4,491.07,491.07,561.93,26972.75,185877.06
1/5,487.93,487.93,560.42,27460.68,184675.5
2/5,484.77,484.77,558.91,27945.45,183470.78
3/5,481.61,481.61,557.39,28427.06,182262.89
4/5,478.44,478.44,555.88,28905.5,181051.84
5/5,475.26,475.26,554.35,29380.76,179837.61
6/5,472.07,472.07,552.83,29852.84,178620.19
7/5,468.88,468.88,551.3,30321.72,177399.57
8/5,465.67,465.67,549.77,30787.39,176175.75
9/5,462.46,462.46,548.24,31249.85,174948.72
10/5,459.24,459.24,546.71,31709.09,173718.47
11/5,456.01,456.01,545.17,32165.1,172484.98
12/5,452.77,452.77,543.63,32617.88,171248.26
1/6,449.53,449.53,542.09,33067.4,170008.3
2/6,446.27,446.27,540.54,33513.67,168765.08
3/6,443.01,443.01,538.99,33956.68,167518.59
4/6,439.74,439.74,537.44,34396.42,166268.83
5/6,436.46,436.46,535.89,34832.87,165015.8
6/6,433.17,433.17,534.33,35266.04,163759.47
7/6,429.87,429.87,532.77,35695.91,162499.84
8/6,426.56,426.56,531.21,36122.47,161236.91
9/6,423.25,423.25,529.65,36545.72,159970.67
10/6,419.92,419.92,528.08,36965.64,158701.09
11/6,416.59,416.59,526.51,37382.23,157428.19
12/6,413.25,413.25,524.94,37795.48,156151.95
1/7,409.9,409.9,523.36,38205.38,154872.35
2/7,406.54,406.54,521.78,38611.92,153589.4
3/7,403.17,403.17,520.2,39015.09,152303.08
4/7,399.8,399.8,518.62,39414.89,151013.38
5/7,396.41,396.41,517.03,39811.3,149720.3
6/7,393.02,393.02,515.44,40204.31,148423.82
7/7,389.61,389.61,513.85,40593.93,147123.94
8/7,386.2,386.2,512.25,40980.13,145820.64
9/7,382.78,382.78,510.65,41362.91,144513.93
10/7,379.35,379.35,509.05,41742.25,143203.79
11/7,375.91,375.91,507.45,42118.16,141890.2
12/7,372.46,372.46,505.84,42490.63,140573.17
1/8,369.0,369.0,504.23,42859.63,139252.68
2/8,365.54,365.54,502.62,43225.17,137928.73
3/8,362.06,362.06,501.0,43587.23,136601.3
4/8,358.58,358.58,499.38,43945.81,135270.38
5/8,355.08,355.08,497.76,44300.9,133935.97
6/8,351.58,351.58,496.14,44652.48,132598.06
7/8,348.07,348.07,494.51,45000.55,131256.64
8/8,344.55,344.55,492.88,45345.1,129911.69
9/8,341.02,341.02,491.25,45686.11,128563.22
10/8,337.48,337.48,489.61,46023.59,127211.2
11/8,333.93,333.93,487.97,46357.52,125855.64
12/8,330.37,330.37,486.33,46687.89,124496.51
1/9,326.8,326.8,484.69,47014.7,123133.82
2/9,323.23,323.23,483.04,47337.92,121767.56
3/9,319.64,319.64,481.39,47657.56,120397.7
4/9,316.04,316.04,479.74,47973.61,119024.25
5/9,312.44,312.44,478.08,48286.05,117647.2
6/9,308.82,308.82,476.42,48594.87,116266.53
7/9,305.2,305.2,474.76,48900.07,114882.24
8/9,301.57,301.57,473.09,49201.63,113494.31
9/9,297.92,297.92,471.42,49499.56,112102.74
10/9,294.27,294.27,469.75,49793.83,110707.51
11/9,290.61,290.61,468.08,50084.43,109308.63
12/9,286.94,286.94,466.4,50371.37,107906.07
1/10,283.25,283.25,464.72,50654.62,106499.83
2/10,279.56,279.56,463.04,50934.18,105089.9
3/10,275.86,275.86,461.35,51210.05,103676.26
4/10,272.15,272.15,459.66,51482.2,102258.92
5/10,268.43,268.43,457.97,51750.63,100837.86
6/10,264.7,264.7,456.27,52015.32,99413.06
