month,lost to interest,lost to all fees,average loss per month,total lost,mortgage left
1/1,630.0,1180.0,1180.0,1180.0,238940.51
2/1,627.22,1177.22,1178.61,2357.22,237878.23
3/1,624.43,1174.43,1177.22,3531.65,236813.17
4/1,621.63,1171.63,1175.82,4703.28,235745.31
5/1,618.83,1168.83,1174.42,5872.12,234674.65
6/1,616.02,1166.02,1173.02,7038.14,233601.17
7/1,613.2,1163.2,1171.62,8201.34,232524.88
8/1,610.38,1160.38,1170.21,9361.72,231445.77
9/1,607.55,1157.55,1168.81,10519.26,230363.82
10/1,604.71,1154.71,1167.4,11673.97,229279.03
11/1,601.86,1151.86,1165.98,12825.82,228191.4
12/1,599.0,1149.0,1164.57,13974.83,227100.9
1/2,596.14,1146.14,1163.15,15120.97,226007.55
2/2,593.27,1143.27,1161.73,16264.24,224911.33
3/2,590.39,1140.39,1160.31,17404.63,223812.23
4/2,587.51,1137.51,1158.88,18542.14,222710.24
5/2,584.61,1134.61,1157.46,19676.75,221605.36
6/2,581.71,1131.71,1156.03,20808.46,220497.58
7/2,578.81,1128.81,1154.59,21937.27,219386.89
8/2,575.89,1125.89,1153.16,23063.16,218273.29
9/2,572.97,1122.97,1151.72,24186.13,217156.76
10/2,570.04,1120.04,1150.28,25306.17,216037.31
11/2,567.1,1117.1,1148.84,26423.26,214914.91
12/2,564.15,1114.15,1147.39,27537.41,213789.57
1/3,561.2,1111.2,1145.94,28648.61,212661.27
2/3,558.24,1108.24,1144.49,29756.85,211530.02
3/3,555.27,1105.27,1143.04,30862.11,210395.79
4/3,552.29,1102.29,1141.59,31964.4,209258.58
5/3,549.3,1099.3,1140.13,33063.71,208118.39
6/3,546.31,1096.31,1138.67,34160.02,206975.21
7/3,543.31,1093.31,1137.2,35253.33,205829.03
8/3,540.3,1090.3,1135.74,36343.63,204679.84
9/3,537.28,1087.28,1134.27,37430.91,203527.63
10/3,534.26,1084.26,1132.8,38515.17,202372.39
11/3,531.23,1081.23,1131.33,39596.4,201214.13
12/3,528.19,1078.19,1129.85,40674.59,200052.82
1/4,525.14,1075.14,1128.37,41749.73,198888.47
2/4,522.08,1072.08,1126.89,42821.81,197721.06
3/4,519.02,1069.02,1125.41,43890.83,196550.58
4/4,515.95,1065.95,1123.92,44956.77,195377.03
5/4,512.86,1062.86,1122.43,46019.64,194200.4
6/4,509.78,1059.78,1120.94,47079.41,193020.68
7/4,506.68,1056.68,1119.44,48136.09,191837.87
8/4,503.57,1053.57,1117.95,49189.67,190651.95
9/4,500.46,1050.46,1116.45,50240.13,189462.92
10/4,497.34,1047.34,1114.94,51287.47,188270.77
11/4,494.21,1044.21,1113.44,52331.68,187075.48
12/4,491.07,1041.07,1111.93,53372.75,185877.06
1/5,487.93,1037.93,1110.42,54410.68,184675.5
2/5,484.77,1034.77,1108.91,55445.45,183470.78
3/5,481.61,1031.61,1107.39,56477.06,182262.89
4/5,478.44,1028.44,1105.88,57505.5,181051.84
5/5,475.26,1025.26,1104.35,58530.76,179837.61
6/5,472.07,1022.07,1102.83,59552.84,178620.19
7/5,468.88,1018.88,1101.3,60571.72,177399.57
8/5,465.67,1015.67,1099.77,61587.39,176175.75
9/5,462.46,1012.46,1098.24,62599.85,174948.72
10/5,459.24,1009.24,1096.71,63609.09,173718.47
11/5,456.01,1006.01,1095.17,64615.1,172484.98
12/5,452.77,1002.77,1093.63,65617.88,171248.26
1/6,449.53,999.53,1092.09,66617.4,170008.3
2/6,446.27,996.27,1090.54,67613.67,168765.08
3/6,443.01,993.01,1088.99,68606.68,167518.59
4/6,439.74,989.74,1087.44,69596.42,166268.83
5/6,436.46,986.46,1085.89,70582.87,165015.8
6/6,433.17,983.17,1084.33,71566.04,163759.47
7/6,429.87,979.87,1082.77,72545.91,162499.84
8/6,426.56,976.56,1081.21,73522.47,161236.91
9/6,423.25,973.25,1079.65,74495.72,159970.67
10/6,419.92,969.92,1078.08,75465.64,158701.09
11/6,416.59,966.59,1076.51,76432.23,157428.19
12/6,413.25,963.25,1074.94,77395.48,156151.95
1/7,409.9,959.9,1073.36,78355.38,154872.35
2/7,406.54,956.54,1071.78,79311.92,153589.4
3/7,403.17,953.17,1070.2,80265.09,152303.08
4/7,399.8,949.8,1068.62,81214.89,151013.38
5/7,396.41,946.41,1067.03,82161.3,149720.3
6/7,393.02,943.02,1065.44,83104.31,148423.82
7/7,389.61,939.61,1063.85,84043.93,147123.94
8/7,386.2,936.2,1062.25,84980.13,145820.64
9/7,382.78,932.78,1060.65,85912.91,144513.93
10/7,379.35,929.35,1059.05,86842.25,143203.79
11/7,375.91,925.91,1057.45,87768.16,141890.2
12/7,372.46,922.46,1055.84,88690.63,140573.17
1/8,369.0,919.0,1054.23,89609.63,139252.68
2/8,365.54,915.54,1052.62,90525.17,137928.73
3/8,362.06,912.06,1051.0,91437.23,136601.3
4/8,358.58,908.58,1049.38,92345.81,135270.38
5/8,355.08,905.08,1047.76,93250.9,133935.97
6/8,351.58,901.58,1046.14,94152.48,132598.06
7/8,348.07,898.07,1044.51,95050.55,131256.64
8/8,344.55,894.55,1042.88,95945.1,129911.69
9/8,341.02,891.02,1041.25,96836.11,128563.22
10/8,337.48,887.48,1039.61,97723.59,127211.2
